ESSRenyi,AvgDiscRet,AvgEpLen,MaxNormIw,BatchSize,VarRet,MaxVanillaIw,MinNormIw,VarDiscRet,VanillaAvgRet,AvgRet,IterType,AvgNormIw,eRenyi2,VarJ,VarNormIw,Bound,VarVanillaIw,AvgVanillaIw,J,Delta,EpsThisIter,MinVanillaIw,ESSClassic
500.0,-7.232273168751447,200.0,0.0025,500,43.52364709169374,1.0,0.0025,43.52364709169374,-7.232273168751447,-7.232273168751447,2,0.0024999997,1.0,6.8507133,5.434597e-20,-8.518541,,1.0,-8.126972,0.9,100,1.0,400.0
499.01679163787475,-8.162902133586,200.0,0.002083943,500,51.671753734283286,1.0328736,0.0017341812,51.671753734283286,-8.162902133586,-8.162902133586,1,0.002,1.0019703,6.960131,2.2358316e-08,-8.483988,0.005492393,0.99126863,-8.133413,0.9,100,0.8595197,497.22624518301853
500.0,-7.4921752957038334,200.0,0.01,500,43.573842497573054,1.0,0.01,43.573842497573054,-7.4921752957038334,-7.4921752957038334,2,0.009999998,1.0,6.5679603,3.5044917e-18,-8.267665,,1.0,-7.492175,0.9,100,1.0,100.0
500.0,-8.86009027886089,200.0,0.005,500,55.77984082694804,1.0,0.005,55.77984082694804,-8.86009027886089,-8.86009027886089,2,0.0049999994,1.0,7.0461245,2.179301e-19,-8.724486,,1.0,-8.176132,0.9,100,1.0,200.00000010221265
500.0,-6.758328561998408,200.0,0.0033333334,500,43.729571914141154,1.0,0.0033333334,43.729571914141154,-6.758328561998408,-6.758328561998408,2,0.0033333336,1.0,6.9264746,5.4391416e-20,-8.154619,,1.0,-7.7035313,0.9,100,1.0,299.999969473632
500.0,-8.351242004973232,200.0,0.0025,500,53.40518413131102,1.0,0.0025,53.40518413131102,-8.351242004973232,-8.351242004973232,2,0.0024999997,1.0,7.0198627,5.434597e-20,-8.256112,,1.0,-7.865459,0.9,100,1.0,400.0
427.9174581137533,-7.450616229860916,200.0,0.0025394103,500,53.45903891842497,1.4392531,0.000109634275,53.45903891842497,-7.450616229860916,-7.450616229860916,1,0.002,1.1684496,7.9921484,1.0217263e-06,-7.967988,0.32820344,1.1335334,-7.5902925,0.9,100,0.062137052,398.4315981747153
500.0,-6.949156181292353,200.0,0.01,500,43.42870418249428,1.0,0.01,43.42870418249428,-6.949156181292353,-6.949156181292353,2,0.009999998,1.0,6.5570126,3.5044917e-18,-7.715353,,1.0,-6.949156,0.9,100,1.0,100.0
500.0,-7.040675741442917,200.0,0.005,500,42.96383670959324,1.0,0.005,42.96383670959324,-7.040675741442917,-7.040675741442917,2,0.0049999994,1.0,6.5396023,2.179301e-19,-7.543839,,1.0,-6.994916,0.9,100,1.0,200.00000010221265
500.0,-8.199545012691424,200.0,0.0033333334,500,48.26230789533781,1.0,0.0033333334,48.26230789533781,-8.199545012691424,-8.199545012691424,2,0.0033333336,1.0,6.6902895,5.4391416e-20,-7.844653,,1.0,-7.3964596,0.9,100,1.0,299.999969473632
500.0,-7.94203854843817,200.0,0.0025,500,56.45771312649793,1.0,0.0025,56.45771312649793,-7.94203854843817,-7.94203854843817,2,0.0024999997,1.0,6.899208,5.434597e-20,-7.922415,,1.0,-7.532854,0.9,100,1.0,400.0
480.8581538013186,-8.704652789099582,200.0,0.002180349,500,54.00851385049157,1.1736674,0.00022002985,54.00851385049157,-8.704652789099582,-8.704652789099582,1,0.0019999999,1.0398077,7.153408,3.2165977e-07,-8.087959,0.093204044,1.0765867,-7.7319484,0.9,100,0.1184406,462.85416515171073
500.0,-7.539449874633123,200.0,0.01,500,44.30826069318937,1.0,0.01,44.30826069318937,-7.539449874633123,-7.539449874633123,2,0.009999998,1.0,6.623079,3.5044917e-18,-8.310727,,1.0,-7.5394497,0.9,100,1.0,100.0
500.0,-7.325269306442875,200.0,0.005,500,55.220344093944014,1.0,0.005,55.220344093944014,-7.325269306442875,-7.325269306442875,2,0.0049999994,1.0,7.0198383,2.179301e-19,-7.9850793,,1.0,-7.4323597,0.9,100,1.0,200.00000010221265
500.0,-6.760373141446727,200.0,0.0033333334,500,43.73725531254826,1.0,0.0033333334,43.73725531254826,-6.760373141446727,-6.760373141446727,2,0.0033333336,1.0,6.883729,5.4391416e-20,-7.659658,,1.0,-7.2083645,0.9,100,1.0,299.999969473632
500.0,-7.512381531294089,200.0,0.0025,500,46.592324319632624,1.0,0.0025,46.592324319632624,-7.512381531294089,-7.512381531294089,2,0.0024999997,1.0,6.862086,5.434597e-20,-7.6752,,1.0,-7.2843685,0.9,100,1.0,400.0
338.47054680416255,-7.677771393268615,200.0,0.029575296,500,44.251800523892875,26.375767,0.00085102924,44.251800523892875,-7.677771393268615,-7.677771393268615,1,0.0019999996,1.4772334,18.372223,3.17467e-05,-7.512767,25.24937,1.783635,-7.0878935,0.9,100,0.75896275,56.048768309310454
500.0,-7.812539527173251,200.0,0.01,500,43.57702766394062,1.0,0.01,43.57702766394062,-7.812539527173251,-7.812539527173251,2,0.009999998,1.0,6.5682,3.5044917e-18,-8.569854,,1.0,-7.8125396,0.9,100,1.0,100.0
500.0,-7.853567218110206,200.0,0.005,500,48.16783736507847,1.0,0.005,48.16783736507847,-7.853567218110206,-7.853567218110206,2,0.0049999994,1.0,6.7390003,2.179301e-19,-8.380551,,1.0,-7.8330536,0.9,100,1.0,200.00000010221265
500.0,-7.7404130870031,200.0,0.0033333334,500,51.04021263610837,1.0,0.0033333334,51.04021263610837,-7.7404130870031,-7.7404130870031,2,0.0033333336,1.0,6.864493,5.4391416e-20,-8.249204,,1.0,-7.8021736,0.9,100,1.0,299.999969473632
500.0,-7.6419522975605245,200.0,0.0025,500,51.39591595969761,1.0,0.0025,51.39591595969761,-7.6419522975605245,-7.6419522975605245,2,0.0024999997,1.0,6.9329824,5.434597e-20,-8.151776,,1.0,-7.7621183,0.9,100,1.0,400.0
309.0226375461815,-7.736949519977071,200.0,0.0091575505,500,51.063891131790356,6.244781,0.0010972457,51.063891131790356,-7.736949519977071,-7.736949519977071,1,0.0019999999,1.6180044,11.866154,6.4744577e-06,-7.702706,3.0107813,1.363854,-7.259384,0.9,100,0.7482415,191.17702127814457
