BatchSize,AvgEpLen,AvgNormIw,Delta,VarJ,ESSClassic,VarRet,MaxVanillaIw,AvgRet,VarVanillaIw,ESSRenyi,MinVanillaIw,AvgVanillaIw,J,AvgDiscRet,VarNormIw,eRenyi2,EpsThisIter,MinNormIw,VanillaAvgRet,Bound,IterType,VarDiscRet,MaxNormIw
500,200.0,0.0033333336,0.9,7.5632277,299.999969473632,66.82353645409597,1.0,-7.757167720184734,,500.0,1.0,1.0,-7.860645,-7.757167720184734,5.4391416e-20,1.0,100,0.0033333334,-7.757167720184734,-8.318262,2,66.82353645409597,0.0033333334
500,200.0,0.0024999997,0.9,7.3119965,400.0,42.3484803340949,1.0,-7.198402537729291,,500.0,1.0,1.0,-7.695083,-7.198402537729291,5.434597e-20,1.0,100,0.0025,-7.198402537729291,-8.091391,2,42.3484803340949,0.0025
500,200.0,0.002,0.9,45.559254,3.637671212075926,49.78067244457701,162.93936,-7.952072539893221,81.62538,4.740837450532483,,0.7726632,-3.3948553,-7.952072539893221,0.0005468959,105.4666,100,,-7.952072539893221,-7.035138,1,49.78067244457701,0.4217604
500,200.0,0.009999998,0.9,7.292073,100.0,53.711437255091276,1.0,-7.238204153509182,,500.0,1.0,1.0,-7.238204,-7.238204153509182,3.5044917e-18,1.0,100,0.01,-7.238204153509182,-8.033139,2,53.711437255091276,0.01
500,200.0,0.0049999994,0.9,6.8562226,200.00000010221265,41.25221593916934,1.0,-7.2940234615847865,,500.0,1.0,1.0,-7.2661138,-7.2940234615847865,2.179301e-19,1.0,100,0.005,-7.2940234615847865,-7.828218,2,41.25221593916934,0.005
500,200.0,0.0033333336,0.9,6.9438334,299.999969473632,49.27099464376173,1.0,-8.934917241555798,,500.0,1.0,1.0,-7.8223815,-8.934917241555798,5.4391416e-20,1.0,100,0.0033333334,-8.934917241555798,-8.281338,2,49.27099464376173,0.0033333334
500,200.0,0.0024999997,0.9,7.0075746,400.0,52.26064677287829,1.0,-8.041149942739564,,500.0,1.0,1.0,-7.877074,-8.041149942739564,5.434597e-20,1.0,100,0.0025,-8.041149942739564,-8.274776,2,52.26064677287829,0.0025
500,200.0,0.002,0.9,15.443133,7.24015353892738,47.17712612281173,78.98372,-8.211362325730686,36.044594,8.648919155648212,,0.72701204,-3.0722218,-8.211362325730686,0.00027278284,57.81069,100,,-8.211362325730686,-5.7768507,1,47.17712612281173,0.21728311
500,200.0,0.009999998,0.9,7.316943,100.0,54.078439876213864,1.0,-7.730602510899464,,500.0,1.0,1.0,-7.7306023,-7.730602510899464,3.5044917e-18,1.0,100,0.01,-7.730602510899464,-8.499243,2,54.078439876213864,0.01
500,200.0,0.0049999994,0.9,7.223198,200.00000010221265,51.28297380961334,1.0,-8.018282230203459,,500.0,1.0,1.0,-7.874442,-8.018282230203459,2.179301e-19,1.0,100,0.005,-8.018282230203459,-8.436745,2,51.28297380961334,0.005
500,200.0,0.0033333336,0.9,7.0448914,299.999969473632,44.98523815527223,1.0,-7.77257560963352,,500.0,1.0,1.0,-7.8404865,-7.77257560963352,5.4391416e-20,1.0,100,0.0033333334,-7.77257560963352,-8.299604,2,44.98523815527223,0.0033333334
500,200.0,0.0024999997,0.9,7.1402755,400.0,55.50646403293662,1.0,-8.189376448391448,,500.0,1.0,1.0,-7.927709,-8.189376448391448,5.434597e-20,1.0,100,0.0025,-8.189376448391448,-8.325317,2,55.50646403293662,0.0025
500,200.0,0.0019999999,0.9,26.557814,3.768684516592878,49.698475485889084,163.118,-7.962738204825793,125.52122,4.269594785903301,,0.97538626,-2.8474798,-7.962738204825793,0.0005277447,117.10713,100,,-7.962738204825793,-6.695981,1,49.698475485889084,0.3344685
500,200.0,0.009999998,0.9,6.939285,100.0,48.640078478035846,1.0,-8.390592241607353,,500.0,1.0,1.0,-8.390592,-8.390592241607353,3.5044917e-18,1.0,100,0.01,-8.390592241607353,-9.156417,2,48.640078478035846,0.01
500,200.0,0.0049999994,0.9,7.405432,200.00000010221265,61.73670321239113,1.0,-9.293748991308242,,500.0,1.0,1.0,-8.842171,-9.293748991308242,2.179301e-19,1.0,100,0.005,-9.293748991308242,-9.393506,2,61.73670321239113,0.005
500,200.0,0.0033333336,0.9,7.030665,299.999969473632,36.72600204486056,1.0,-7.004589295294555,,500.0,1.0,1.0,-8.229644,-7.004589295294555,5.4391416e-20,1.0,100,0.0033333334,-7.004589295294555,-8.679808,2,36.72600204486056,0.0033333334
500,200.0,0.0024999997,0.9,6.977082,400.0,46.63868805344006,1.0,-7.6457735720469975,,500.0,1.0,1.0,-8.083675,-7.6457735720469975,5.434597e-20,1.0,100,0.0025,-7.6457735720469975,-8.473528,2,46.63868805344006,0.0025
500,200.0,0.002,0.9,20.079855,48.17949561942086,45.43053541857122,14.618003,-7.190037516479297,17.051964,48.24008451731116,,1.3471023,-6.1741304,-7.190037516479297,3.758661e-05,10.364824,100,,-7.190037516479297,-7.2967353,1,45.43053541857122,0.021702886
500,200.0,0.009999998,0.9,6.956482,100.0,48.88146234106503,1.0,-7.80713046319421,,500.0,1.0,1.0,-7.807131,-7.80713046319421,3.5044917e-18,1.0,100,0.01,-7.80713046319421,-8.559351,2,48.88146234106503,0.01
500,200.0,0.0049999994,0.9,6.711268,200.00000010221265,41.64427365185949,1.0,-6.846137858116582,,500.0,1.0,1.0,-7.326634,-6.846137858116582,2.179301e-19,1.0,100,0.005,-6.846137858116582,-7.877812,2,41.64427365185949,0.005
500,200.0,0.0033333336,0.9,6.847417,299.999969473632,50.73118114363996,1.0,-8.05662638937109,,500.0,1.0,1.0,-7.5699644,-8.05662638937109,5.4391416e-20,1.0,100,0.0033333334,-8.05662638937109,-8.02495,2,50.73118114363996,0.0033333334
500,200.0,0.0024999997,0.9,7.096061,400.0,60.96266951336044,1.0,-8.302049241902646,,500.0,1.0,1.0,-7.752986,-8.302049241902646,5.434597e-20,1.0,100,0.0025,-8.302049241902646,-8.149534,2,60.96266951336044,0.0025
500,200.0,0.002,0.9,7.69812,445.09837438607076,56.44802142987986,1.1885513,-7.960004771886843,0.12728313,478.19294929720763,0.28366423,1.014813,-7.7717175,-7.960004771886843,4.9437756e-07,1.045603,100,0.0005590473,-7.960004771886843,-8.1343975,1,56.44802142987986,0.0023424046
500,200.0,0.009999998,0.9,7.4612784,100.0,56.233011248282835,1.0,-8.76866269719832,,500.0,1.0,1.0,-8.768662,-8.76866269719832,3.5044917e-18,1.0,100,0.01,-8.76866269719832,-9.563236,2,56.233011248282835,0.01
500,200.0,0.0049999994,0.9,7.4897265,200.00000010221265,57.06009888062234,1.0,-8.516315334391733,,500.0,1.0,1.0,-8.6424885,-8.516315334391733,2.179301e-19,1.0,100,0.005,-8.516315334391733,-9.204337,2,57.06009888062234,0.005
500,200.0,0.0033333336,0.9,7.264053,299.999969473632,46.43656460350296,1.0,-8.192198122343843,,500.0,1.0,1.0,-8.492392,-8.192198122343843,5.4391416e-20,1.0,100,0.0033333334,-8.192198122343843,-8.953022,2,46.43656460350296,0.0033333334
500,200.0,0.0024999997,0.9,7.34994,400.0,58.296027052427355,1.0,-8.806519936345694,,500.0,1.0,1.0,-8.570924,-8.806519936345694,5.434597e-20,1.0,100,0.0025,-8.806519936345694,-8.969841,2,58.296027052427355,0.0025
500,200.0,0.0020000006,0.9,7.6169558,465.5125808296318,57.727438497248556,1.1597968,-8.477187009610716,0.08362479,483.261569467733,0.21342438,1.0613741,-8.525819,-8.477187009610716,2.9693274e-07,1.0346364,100,0.00040216622,-8.477187009610716,-8.888748,1,57.727438497248556,0.002185463
500,200.0,0.009999998,0.9,6.403026,100.0,41.41287627410471,1.0,-6.711059209189156,,500.0,1.0,1.0,-6.7110586,-6.711059209189156,3.5044917e-18,1.0,100,0.01,-6.711059209189156,-7.480019,2,41.41287627410471,0.01
500,200.0,0.0049999994,0.9,6.7058067,200.00000010221265,48.40980314912527,1.0,-8.133196016292423,,500.0,1.0,1.0,-7.4221272,-8.133196016292423,2.179301e-19,1.0,100,0.005,-8.133196016292423,-7.9759245,2,48.40980314912527,0.005
500,200.0,0.0033333336,0.9,7.003894,299.999969473632,57.4671505335946,1.0,-8.131462254009005,,500.0,1.0,1.0,-7.658573,-8.131462254009005,5.4391416e-20,1.0,100,0.0033333334,-8.131462254009005,-8.110746,2,57.4671505335946,0.0033333334
500,200.0,0.0024999997,0.9,7.1296787,400.0,56.56760216616147,1.0,-8.12580198006706,,500.0,1.0,1.0,-7.7753797,-8.12580198006706,5.434597e-20,1.0,100,0.0025,-8.12580198006706,-8.171897,2,56.56760216616147,0.0025
500,200.0,0.002,0.9,12.923209,129.28996134145754,48.70729559752382,10.527959,-6.500869606811481,5.0355263,378.8564981329076,0.77788925,1.3238931,-7.3702426,-6.500869606811481,1.149209e-05,1.3197609,100,0.0011751542,-6.500869606811481,-7.777674,1,48.70729559752382,0.015904546
500,200.0,0.009999998,0.9,7.1222854,100.0,51.23935033167631,1.0,-7.638993748341973,,500.0,1.0,1.0,-7.6389937,-7.638993748341973,3.5044917e-18,1.0,100,0.01,-7.638993748341973,-8.434944,2,51.23935033167631,0.01
500,200.0,0.0049999994,0.9,7.3141527,200.00000010221265,55.88893294907115,1.0,-9.00769196062029,,500.0,1.0,1.0,-8.323343,-9.00769196062029,2.179301e-19,1.0,100,0.005,-9.00769196062029,-8.886165,2,55.88893294907115,0.005
500,200.0,0.0033333336,0.9,7.2190337,299.999969473632,49.03585700570824,1.0,-7.225036235092675,,500.0,1.0,1.0,-7.9572406,-7.225036235092675,5.4391416e-20,1.0,100,0.0033333334,-7.225036235092675,-8.416782,2,49.03585700570824,0.0033333334
500,200.0,0.0024999997,0.9,7.295227,400.0,57.07395658305753,1.0,-8.17265986382672,,500.0,1.0,1.0,-8.011095,-8.17265986382672,5.434597e-20,1.0,100,0.0025,-8.17265986382672,-8.40907,2,57.07395658305753,0.0025
500,200.0,0.0020000003,0.9,9.803905,266.19535211188065,51.853561059524786,4.059443,-8.503913751580594,1.4491837,346.4521869510155,0.7622646,1.2832187,-7.7820497,-8.503913751580594,3.5203195e-06,1.4432006,100,0.001188051,-8.503913751580594,-8.209676,1,51.853561059524786,0.0063269697
500,200.0,0.009999998,0.9,7.4596252,100.0,56.20809135222558,1.0,-8.281770065519268,,500.0,1.0,1.0,-8.28177,-8.281770065519268,3.5044917e-18,1.0,100,0.01,-8.281770065519268,-9.07204,2,56.20809135222558,0.01
500,200.0,0.0049999994,0.9,7.380701,200.00000010221265,53.73980956324806,1.0,-7.83215300441872,,500.0,1.0,1.0,-8.056961,-7.83215300441872,2.179301e-19,1.0,100,0.005,-7.83215300441872,-8.615767,2,53.73980956324806,0.005
500,200.0,0.0033333336,0.9,7.131831,299.999969473632,42.71710258835785,1.0,-6.634141503002001,,500.0,1.0,1.0,-7.5826883,-6.634141503002001,5.4391416e-20,1.0,100,0.0033333334,-6.634141503002001,-8.038951,2,42.71710258835785,0.0033333334
500,200.0,0.0024999997,0.9,7.1777935,400.0,53.90578302646752,1.0,-7.994368109090176,,500.0,1.0,1.0,-7.685608,-7.994368109090176,5.434597e-20,1.0,100,0.0025,-7.994368109090176,-8.080743,2,53.90578302646752,0.0025
500,200.0,0.0019999999,0.9,7.2129474,480.9562908024063,42.801081548990005,1.1015768,-6.811982325065555,0.038244113,492.2031818617615,0.15199056,0.9818024,-7.493164,-6.811982325065555,1.5869975e-07,1.0158406,100,0.00030961537,-6.811982325065555,-7.8493714,1,42.801081548990005,0.0022439887
