MinNormIw,Bound,EpsThisIter,VarVanillaIw,VanillaAvgRet,AvgEpLen,MaxVanillaIw,J,ESSRenyi,BatchSize,VarJ,MinVanillaIw,AvgRet,MaxNormIw,eRenyi2,VarNormIw,VarDiscRet,IterType,Delta,AvgNormIw,VarRet,AvgVanillaIw,ESSClassic,AvgDiscRet
0.0033333334,-8.004919,100,,-6.99355127113331,200.0,1.0,-7.5629783,500.0,500,6.869243,1.0,-6.99355127113331,0.0033333334,1.0,5.4391416e-20,41.14680337687614,2,0.9,0.0033333336,41.14680337687614,1.0,299.999969473632,-6.99355127113331
0.0025,-7.8793564,100,,-7.29755920460211,200.0,1.0,-7.496624,500.0,500,6.7954783,1.0,-7.29755920460211,0.0025,1.0,5.434597e-20,43.53713318899486,2,0.9,0.0024999997,43.53713318899486,1.0,400.0,-7.29755920460211
0.0015868937,-7.8807874,100,0.0013880794,-7.702754441433764,200.0,1.0222802,-7.537641,499.5348017369307,500,6.9054046,0.7898266,-7.702754441433764,0.002053932,1.0009313,5.603339e-09,53.24377360844692,1,0.9,0.002,53.24377360844692,0.99543726,499.3018459640832,-7.702754441433764
0.01,-7.74112,100,,-6.984256308000762,200.0,1.0,-6.9842563,500.0,500,6.5911813,1.0,-6.984256308000762,0.01,1.0,3.5044917e-18,43.88250283393552,2,0.9,0.009999998,43.88250283393552,1.0,100.0,-6.984256308000762
0.005,-7.4012504,100,,-6.725681340527261,200.0,1.0,-6.8549685,500.0,500,6.568767,1.0,-6.725681340527261,0.005,1.0,2.179301e-19,43.252830806082976,2,0.9,0.0049999994,43.252830806082976,1.0,200.00000010221265,-6.725681340527261
0.0033333334,-7.9927406,100,,-8.930171996824315,200.0,1.0,-7.5467033,500.0,500,6.947522,1.0,-8.930171996824315,0.0033333334,1.0,5.4391416e-20,56.197788932465166,2,0.9,0.0033333336,56.197788932465166,1.0,299.999969473632,-8.930171996824315
0.0025,-7.959716,100,,-7.653635488439064,200.0,1.0,-7.5734363,500.0,500,6.8435893,1.0,-7.653635488439064,0.0025,1.0,5.434597e-20,42.95565861466065,2,0.9,0.0024999997,42.95565861466065,1.0,400.0,-7.653635488439064
0.0015900239,-8.245124,100,0.2002541,-9.389710914520293,200.0,4.9000707,-7.8812976,454.22129868419654,500,7.7289176,0.83976996,-9.389710914520293,0.009277813,1.100785,7.179066e-07,55.57515252461559,1,0.9,0.0020000003,55.57515252461559,1.0562986,424.04586142514563,-9.389710914520293
0.01,-7.910802,100,,-7.14376765478961,200.0,1.0,-7.143767,500.0,500,7.2751374,1.0,-7.14376765478961,0.01,1.0,3.5044917e-18,53.46224882675747,2,0.9,0.009999998,53.46224882675747,1.0,100.0,-7.14376765478961
0.005,-7.8845797,100,,-7.540639954990552,200.0,1.0,-7.3422036,500.0,500,7.219497,1.0,-7.540639954990552,0.005,1.0,2.179301e-19,51.75342735965896,2,0.9,0.0049999994,51.75342735965896,1.0,200.00000010221265,-7.540639954990552
0.0033333334,-8.015984,100,,-8.025319580389162,200.0,1.0,-7.5699086,500.0,500,7.153095,1.0,-8.025319580389162,0.0033333334,1.0,5.4391416e-20,49.44132183237619,2,0.9,0.0033333336,49.44132183237619,1.0,299.999969473632,-8.025319580389162
0.0025,-7.9096966,100,,-7.376596959938416,200.0,1.0,-7.5215807,500.0,500,7.077447,1.0,-7.376596959938416,0.0025,1.0,5.434597e-20,47.305787858714055,2,0.9,0.0024999997,47.305787858714055,1.0,400.0,-7.376596959938416
1.9918976e-21,-7.2790613,100,7.468186,-8.133014422998812,200.0,6.320647,-6.4777107,93.82915562117603,500,13.004045,1.587597e-18,-8.133014422998812,0.007930275,5.328834,1.1756243e-05,50.294428185381896,1,0.9,0.0020000003,50.294428185381896,1.5940549,127.12351555440765,-8.133014422998812
0.01,-8.658232,100,,-7.898956459392558,200.0,1.0,-7.8989563,500.0,500,6.711875,1.0,-7.898956459392558,0.01,1.0,3.5044917e-18,45.504311122140756,2,0.9,0.009999998,45.504311122140756,1.0,100.0,-7.898956459392558
0.005,-8.54381,100,,-8.09943954045353,200.0,1.0,-7.999198,500.0,500,6.766986,1.0,-8.09943954045353,0.005,1.0,2.179301e-19,46.984676076787395,2,0.9,0.0049999994,46.984676076787395,1.0,200.00000010221265,-8.09943954045353
