eRenyi2,ESSRenyi,VanillaAvgRet,AvgEpLen,ESSClassic,AvgRet,VarJ,VarRet,VarNormIw,MinVanillaIw,AvgDiscRet,AvgNormIw,Bound,BatchSize,MinNormIw,J,VarVanillaIw,VarDiscRet,MaxVanillaIw,MaxNormIw,AvgVanillaIw
1.0000011,499.99946355877256,4999.867119131613,500.0,499.99942880760716,4999.867119131613,0.15317263,0.023572804053312038,5.0042006e-12,0.9960286,4999.867119131613,0.002,4811.676,500,0.0019920492,4999.868,1.2510609e-06,0.023572804053312038,1.0027807,0.0020055533,1.000004
1.0004125,499.7938529573402,4999.251386757444,499.94,499.76110780236354,4999.251386757444,12.021749,192.38573462849467,1.9154494e-09,0.8579044,4999.251386757444,0.002,4811.103,500,0.0017162495,4999.334,0.0004786164,192.38573462849467,1.0325369,0.0020656043,0.99974316
1.0178543,491.229426281165,4989.539584952199,498.97,491.1795666805475,4989.539584952199,143.91225,49855.90902909436,7.197466e-08,0.4198159,4989.539584952199,0.002,4803.2485,500,0.0008417447,4993.1133,0.017903447,49855.90902909436,1.294647,0.0025958098,0.99748987
1.0,500.0,4999.86550578973,500.0,500.00000664260017,4999.86550578973,0.16116588,0.026026027467549177,5.431875e-20,1.0,4999.86550578973,0.0020000003,4811.6733,500,0.002,4999.8657,,0.026026027467549177,1.0,0.002,1.0
1.0054914,497.26930729857577,4989.892493914081,499.004,497.35791263791975,4989.892493914081,198.69965,49798.067377548585,2.1291111e-08,0.8451414,4989.892493914081,0.002,4802.2734,500,0.001687838,4990.9814,0.0053382087,49798.067377548585,1.2785499,0.0025534013,1.0014485
1.0,500.0,4999.868241479878,500.0,500.00000664260017,4999.868241479878,0.14097504,0.01991247774879616,5.431875e-20,1.0,4999.868241479878,0.0020000003,4811.677,500,0.002,4999.869,,0.01991247774879616,1.0,0.002,1.0
1.0059254,497.05474340016264,4996.954607916875,499.71,496.7044312583639,4996.954607916875,33.051826,4273.543571454816,2.6592462e-08,0.5046943,4996.954607916875,0.0020000003,4809.654,500,0.0010111821,4998.403,0.006624553,4273.543571454816,1.1040204,0.002211964,0.99822634
1.0,500.0,4999.863271784334,500.0,500.00000664260017,4999.863271784334,0.16532716,0.02738796129810488,5.431875e-20,1.0,4999.863271784334,0.0020000003,4811.672,500,0.002,4999.8643,,0.02738796129810488,1.0,0.002,1.0
1.0000017,499.9991655363658,4999.87339794034,500.0,499.99886398269257,4999.87339794034,0.13764986,0.019035492892420344,8.849885e-12,0.9921442,4999.87339794034,0.002,4811.6816,500,0.0019843678,4999.874,2.212293e-06,0.019035492892420344,1.0035136,0.0020071075,0.99995995
1.0106647,494.723917117929,4995.048059089868,499.52,493.5674615376202,4995.048059089868,40.77516,11625.841680612244,5.2235173e-08,0.37609082,4995.048059089868,0.0019999999,4808.8594,500,0.000756132,4998.0522,0.0129227005,11625.841680612244,1.1399832,0.0022919404,0.9947756
1.0,500.0,4999.875156709038,500.0,499.9999433574513,4999.875156709038,0.1425895,0.020372019865930166,6.8833324e-15,0.9998176,4999.875156709038,0.002,4811.684,500,0.0019996378,4999.8765,1.7208148e-09,0.020372019865930166,1.0001005,0.0020002036,0.9999986
1.0000002,499.99988079073887,4999.882262606849,500.0,499.9999616431926,4999.882262606849,0.116178505,0.01352730505857085,1.0883616e-12,0.9981963,4999.882262606849,0.0019999999,4811.6904,500,0.0019964438,4999.883,2.7207525e-07,0.01352730505857085,1.0022179,0.0020044872,0.99997437
1.0,500.0,4999.876293099985,500.0,500.00000664260017,4999.876293099985,0.1231895,0.015206287414328995,5.431875e-20,1.0,4999.876293099985,0.0020000003,4811.684,500,0.002,4999.8765,,0.015206287414328995,1.0,0.002,1.0
