Delta,J,VarRet,AvgNormIw,Bound,MaxVanillaIw,VarJ,VarDiscRet,AvgVanillaIw,MinVanillaIw,EpsThisIter,MinNormIw,MaxNormIw,VarNormIw,ESSRenyi,eRenyi2,AvgDiscRet,BatchSize,ESSClassic,VarVanillaIw,AvgRet,AvgEpLen,VanillaAvgRet,IterType
0.9,-7.710983,34.578966666304424,0.0049999994,-8.260454,1.0,6.716684,34.578966666304424,1.0,1.0,100,0.005,0.005,2.179301e-19,500.0,1.0,-7.022353956832515,500,200.00000010221265,,-7.022353956832515,200.0,-7.022353956832515,2
0.9,-7.962285,44.94487926988755,0.0033333336,-8.410926,1.0,6.7107387,44.94487926988755,1.0,1.0,100,0.0033333334,0.0033333334,5.4391416e-20,500.0,1.0,-8.464888870946202,500,299.999969473632,,-8.464888870946202,200.0,-8.464888870946202,2
0.9,-7.650883,44.06672193503754,0.0024999997,-8.039418,1.0,6.7061863,44.06672193503754,1.0,1.0,100,0.0025,0.0025,5.434597e-20,500.0,1.0,-6.71668040592782,500,400.0,,-6.71668040592782,200.0,-6.71668040592782,2
0.9,-4.379306,43.85399880698185,0.002,-6.97614,72.4522,18.44736,43.85399880698185,0.7417997,,100,,0.19534169,0.0002588257,8.954291114748852,55.83915,-7.219943077795826,500,7.624624532574308,35.60579,-7.219943077795826,200.0,-7.219943077795826,1
0.9,-7.568642,47.247585007242904,0.009999998,-8.3343725,1.0,6.839233,47.247585007242904,1.0,1.0,100,0.01,0.01,3.5044917e-18,500.0,1.0,-7.568642629133236,500,100.0,,-7.568642629133236,200.0,-7.568642629133236,2
0.9,-7.049713,40.61444174079364,0.0049999994,-7.5911665,1.0,6.615209,40.61444174079364,1.0,1.0,100,0.005,0.005,2.179301e-19,500.0,1.0,-6.530784010035877,500,200.00000010221265,,-6.530784010035877,200.0,-6.530784010035877,2
0.9,-7.262125,51.4437196962499,0.0033333336,-7.70422,1.0,6.8000484,51.4437196962499,1.0,1.0,100,0.0033333334,0.0033333334,5.4391416e-20,500.0,1.0,-7.6869476530572625,500,299.999969473632,,-7.6869476530572625,200.0,-7.6869476530572625,2
0.9,-7.6269546,61.89433326716716,0.0024999997,-8.012551,1.0,7.0992002,61.89433326716716,1.0,1.0,100,0.0025,0.0025,5.434597e-20,500.0,1.0,-8.721443430396945,500,400.0,,-8.721443430396945,200.0,-8.721443430396945,2
0.9,-2.6810875,34.51243684347024,0.0019999999,-5.6761293,106.57866,14.210275,34.51243684347024,1.6475753,,100,,0.12937637,0.00019248405,6.6344433459477115,75.36427,-6.309436071150603,500,10.198925562028352,130.62473,-6.309436071150603,200.0,-6.309436071150603,1
0.9,-7.244556,51.732399229385386,0.009999998,-8.017096,1.0,7.156471,51.732399229385386,1.0,1.0,100,0.01,0.01,3.5044917e-18,500.0,1.0,-7.244556075522745,500,100.0,,-7.244556075522745,200.0,-7.244556075522745,2
